review,class
Prior to this last update you made some improvements and did update and it was great!,information giving
"Then there was this last update :( Now iPad wants to crash sometimes, not anywhere like before but just some.",problem discovery
"And you know it would be great to be able to have more than  350 boards, I have noticed some of the people I follow have more but I can  t figure out how to do it!",feature request
If we could just solve these issues it would be awesome!,problem discovery
"The only improvement I suggest is to add the ability to zoom"" in on the pictures after they have been pinned.""",feature request
"I have had the iPhone 4S and 5s, with both of them I had loading issues when saving an image that would freeze and continue to load hours after I have exited the app.",problem discovery
"I love this app, really liked when the added the I think you  ve already posted this!""""",information giving
Any time I need an idea I come here.,information giving
"I can pretty much find everything I need here, and the app is simple to use.",information giving
\nOverall I recommend it!,information giving
I can  t believe I was missing out on such great ideas for such a long time!,information giving
There are so many great ideas and funny things!,information giving
"s78 ,  All of my new contacts I have made on this app and all of the great information I have gained, I  m just so excited to be able to pin all day long ,",information giving
Wish the app would allow you to view in both portrait and landscape format.,feature request
My only problem is not being able to stop.,problem discovery
"I can always find projects that I can  t wait to try, and gifts to make for family.",information giving
Great app nothing else like it gives me awesome ideas of things I can  t afford puts my head in debt ?,information giving
"Now I can access things out and about such as ingredients for recipes, what was the name of that glue they said to use or how much vinegar do I need to buy to clean my house?",information seeking
I can  t stop!,information giving
The only problem is I spend too much time on it.,information giving
"The only complaint I can share is I tried a recipe that had three ingredients, followed the recipe completely and failed all three times.",problem discovery
Very infrequently do I have any problems and it is so convenient.,problem discovery
"Honestly, I  m not sure I like the latest update but I will either adjust or they will update it again.",information giving
How do people come up with these great ideas?,information seeking
"Unfortunately, it didn  t take long before a few a wipes posted bad links.",information giving
"It helps me plan my meals, travel and make my dreams come true.",information giving
Constantly crashes when viewed on my iPad.,problem discovery
Works awesome on my phone but crashes if you repin too quickly back to back.,problem discovery
"Works fine, I have had no issues.",information giving
This app needs an update.,feature request
Don  t listen to anybody who gave them one star they are just mad because they didn  t get any followers.,information giving
The way I think is to categorize first and then comment...but once you select a category you  ve pinned it and then you must do the several step process of editing.,feature request
It helps me keep track of my pins and makes the easy to find when I need them.,information giving
"When I try to pin from Facebook, half the time it tells me I need to log in first.",information giving
So sometimes I just skip it and email the item to myself.,information giving
"I was nvr a big Facebook fan bc it gave too much personal without any personality   Pinterest let  s your real self shine through whether you intended to or not ;)\nI just wish that with the update that they would fix the crashing of my iPad if I have too many windows open or I have left it open too long :( ,",problem discovery
I have had no problems at all.,information giving
"I love to cook and have many apps and bookmarks for recipe searches, but Pinterest is often the first and last place I need to search.",information giving
Definitely recommend this to anyone.,information giving
Luv the inspiration of others\nConnection has never failed .,information giving
I was the person who said they would never Pinterest and now I can  t stop!!!,information giving
I love Pinterest &amp; I love the ease this app provides.,information giving
Recent updates have made this app much better!,information giving
At first when I signed up I had no idea what this was and I actually thought it was a waste of time but now that I understand it I absolutely love it and can  t stop pinning.,information giving
I have never had any problems with this app.,information giving
"Only bug I found was when I expand a pin and try to scroll down to the related pubs area, they sometimes won  t load so I have to exit the pin and try again.",information giving
God bless the person/people who created it.,information giving
It  s an amazing app for everything you need!!,information giving
Sometimes I just give up waiting and just shut it down.,information giving
\nI  ve made the most delicious recipes from it and  even used tips for my dogs.,information giving
Some day my things will be on this app this app make my day.,information giving
Highly recommend this app!,information giving
I find everything what I need  and ever imagine!,information giving
A bit glitchy sometimes so you may need to do an uninstall / reinstall but otherwise go for it.,problem discovery
"I also can  t pin from Zulily any more, but I don  t know if it is Pinterest or Zulily.",problem discovery
I just sometimes get overwhelmed with how much is available and lose track of time.,information giving
It  s often the first place I go when I can  t figure out what to make for dinner!,information giving
"Great app just wish it didn  t glitch on occasion ,",feature request
There are SO many great ideas that are shared throughout this app!!!,information giving
Pinterest is there to find anything I need!,information giving
"It can only get better with time, how can I invest?",information seeking
Wouldn  t plan an event without it.,information giving
It  s my go to DIY site when the creative juices have failed me.,problem discovery
I recommend this to everyone.,information giving
Find everything I need from recipes to decorating and more.,information giving
"I no longer need magazines to get ideas for decorating, hairstyles, clothing, organizing and so many other things.",information giving
Seriously if you know me you know that I can  t function without Pinterest.,information giving
I  m a teacher and there  s anything I can  t find in this app.,information giving
Love to pin recipes / crafts then in store just look up for what you need.,information giving
Wow when I first downloaded Pinterest I didn  t expect to be as cool and filled with GREAT ideas as it is!!!,information giving
If u don  t have you are missing out and when you are getting started or don  t have many followers follow me cuz I love Pinterest and I pin every day!!,information giving
I looked at everything wedding when my daughter was planning her event.,information giving
Decks for the backyard was really fun when we were planning our backyard update.,information giving
The only thing I would love added to Pinterest overall is keywords because a lot of times the captions for the pin do not contain any information about what the pin is about and then there is no way to search for it.,feature request
"I love this site but the app crashes every time I use it :( ,",problem discovery
"Great thing, just need more money ,",information giving
"Is there any way of getting the last version back, otherwise please change it!?",information seeking
The only problem is the newest update makes if a bit difficult to find and like things.,problem discovery
"The update crashes sometimes, but not as much as it used to.",problem discovery
It  s so much more convenient and clear here.,information giving
A few updates ago this thing was added where whnevr you pinned something you would have to hold your finger on the screen and slide it.,information giving
This was Christmas gift central right here.,information giving
They made a  change some where along the way and I can no longer get this app to open my pinterest account using Facebook on my IPad.,problem discovery
I think I followed all the instructions properly but still there is a problem.,problem discovery
I have been hoping for a new version to fix the issue.,problem discovery
Pinterest has made my life so much easier!,information giving
"The only thing I would like to see added is a find"" feature for every board considering how many pins I have now.""",feature request
"When I need to find something Pinterest is my first stop ,",information giving
Could add feature that loads more pins when you reach the bottom and run out of pins!!!!!!!,feature request
"Wish it didn  t crash on occasion but other than that, it  s great!",problem discovery
"The down side is that it does indeed crash on you everyonce in a while, not constant at all and doesn  t pick up where you left off, and you will be lucky if you find that specific pin again.",problem discovery
"Just remember that it  s probably a good idea to try some things out and see if you like them, if not you can delete it off.",information giving
"I pick up some great ideas, crazy photos, and so on, but occasionally it just puts up colored boxes instead of photos.",problem discovery
"When I posted one image to FB, any time anyone clicked on it, it went to Pinterest without a way back to FB, so I deleted it.",information giving
"I was frustrated when they swept in with the anti nude censorship, but I still use it, and the app provides all the features I need ,",information giving
I really like having Pinterest at my finger tips!,information giving
I get frustrated because it crashes with some regularity.,problem discovery
"Just download it, you won  t regret it!!!!!!!!",information giving
I just love pinterest since day one!,information giving
It  s awesome that you can find almost anything you can think.,information giving
"I just wish they  d add a Farm &amp; Ranch"" category!""",feature request
"The App gets a 50/50 , sometimes it works and sometimes you have issues.",problem discovery
"I just love this app ,",information giving
It crashes constantly.,problem discovery
Wish you could save images that you are trying to pin!,feature request
"Love getting a ideas for EVERYTHING, but some of the websites pinned do not work.",problem discovery
"Crashes have been minimized in the last updates, but still crashes on my iPad.",problem discovery
"I sort of wish links would open in chrome like they do on the app, but get why they don  t. Please don  t get much more complex!",information giving
Love the app but have also noticed that my tablet will automatically shut down only on the Pinterest site.,problem discovery
Just relax and find things you like.,information giving
Definitely recommend Pinterest!,information giving
"Great ideas, but it crashes since upgrade :( ,",problem discovery
BUT the app seems to crash a lot!,problem discovery
I just hope you can fix the crashing problem.,problem discovery
"We really need an open in safari"" button.""",feature request
"It  s constantly crashing on me or not showing the pictures, just a bunch of colored tiles.",problem discovery
I liked the list better I don  t need a picture to know the category.,feature request
My only complaint is that you can  t search your own pins or likes as you can on a computer.,feature request
Im a crafter I would like to see more patterns that go with these crafts like the havoc made with recycled bottles there not for sale but there is no pattern either.,feature request
Just I had a few extra hours in the day to browse!,information giving
Love this app so much it has everything that you want to learn and much more I just absolutely love it!,information giving
"It  s a great app but it crashes way too much :( please fix this ,",problem discovery
"It  s useful for event planning, motivation, cooking and pretty much anything you  re looking for.",information giving
I planned my daughters entire baby shower using Pinterest.,information giving
I don  t like the fact that it always crashes when I  m on my iPad.,problem discovery
Please fix the crashes on the iPads an it would be worth that fifth star.,problem discovery
"It makes me loom like the crafty creative one :) ,",information giving
Occasionally mine will shut down on me.,problem discovery
I never have a problem!,information seeking
"Totally awesome app that is helpful when I need to find something quick to cook, crafts made or little thing to do around the house!!",information giving
"Not impressed with update, also need to put a sidebar on pins so you can see how far you have to scroll down to get to the bottom of a topic.",feature request
"I need to see what I am working on, or towards in order for me to make the connection.",feature request
Please change it back to the old Pinterest that we all liked.,information giving
I can  t stop pinning!,information giving
I can  t stop looking at it.,information giving
If I never need ideas about anything this is my go to app.,information giving
Highly recommend it!,information giving
"When I get married I intend to use a ton of the ideas for my wedding, and it  s a great place to find and store funny pictures.",information giving
I can add as many as I want to anything I want.,information giving
But it still crashes a LOT!,problem discovery
Always looking forward to what they have planned for the next update.,information seeking
Does everything I need it to do!,information giving
Any idea or anything you think you want to do is here.,information giving
I can  t help but say that Pinterest is awesome and that I  m totally 100% addicted and it  s nice because I have so many followers interested in just what I pin!,information giving
This app never crashes or freezes up.,information giving
"Pinterest can redefine your life by making you the chef, artist or seamstress you thought you could never be!!",information giving
I LOVE it and highly recommend it to everyone!!,information giving
My only complaint is the offensive material and language that people post.,information giving
"Update 12 28 2013 LOVE Pinterest, but see my request below.",feature request
Please change it BACK to the APP opening when I pin in Safari and/or Chrome.,feature request
Please make an iPad HD version!!,feature request
If there were only a way to help me to really DO the ideas I  ve pinned!!,information giving
You can find anything you need on Pinterest!,information giving
I plan to do the same for crafts.,information giving
Just not fond overall of the update but love the app in general.,information giving
"this app has everything just love Pinterest, Whenever I  m sad bitter or angry I just click on the Humor page Brilliant"".""",information giving
"\nGranted, all of my pins are from other interesting boards, but I don  t like the idea of someone else adding something to my board.",feature request
I love Pinterest and so far this app works how I expected it to.,information giving
"Save those posts for Tumblr, please.",information giving
Haven  t had many problems.,problem discovery
Now I can finally use Pinterest on both.,information giving
I love that you can go to the board that you most recently pinned on.,information giving
I would like to post video using the copy and paste on my iPhone.,feature request
What did I ever do before Pinterest?,information seeking
Pinterest has provided me with access to ideas for home and classroom.,information giving
"Although sometimes it crashes on me, the solution is always simple.",problem discovery
Has everything I need plus more amazing app!!,information giving
"Good app crashes sometimes ,",problem discovery
Haven  t had any problems ?,information seeking
"Love the app, but unfortunately the crashing problem from 2 versions ago is still a problem.",problem discovery
I have never had an in issue with this App it  s great to have on the go when you need a recipe at the grocery store.,information giving
It provides inspiration.,information giving
"The only problem that I have noticed is that when you click to view a pin, read it the close it, it starts you back at the beginning of the list and not where you left off at.",problem discovery
"It always perks me up and makes me happy to see what we as humanity can create, often with very simple ordinary materials.",information giving
Please do add it back!,information giving
"New ideas for decorating, clothing, parties, recipes, DIY projects; whatever you need, Pinterest has SOMETHING to help you out.",information giving
It is packed with inspiration &amp; I just love the pinning &amp; sharing!!,information giving
"This app works great, is easy to use, and doesn  t crash often.",problem discovery
"I love this application I can create my boards for wedding planning, cooking, fashion, and deserts ,",information giving
Now we can  t rename boards in the iPad app but we could before.,problem discovery
"The app is easy to use, but does tend to crash alot on the iPhone, it  s perfect on a PC or laptop though.",problem discovery
The possibilities are endless here!!!,information giving
I don  t know why I have so much trouble opening the pins?,information seeking
I think it should be easier to open them  and see the full content.,feature request
What did we do before Pinterest?!?,information seeking
"Love the concept of this app, but it crashes pretty frequently.",problem discovery
"Tried out Pinterest  because my Wife really enjoys it and has gotten several good suggestions for meals\nI enjoy the pictures and it  s fun to use right up to the point that it shuts down and kicks you off, which seems to happen with surprising regularity\nOnce you  ve been kick off and return, the time between being kicked off gets shorter and shorter\nI  m using an iPad to view Pinterest so maybe it  s the reason for the shut downs\nYour site would be more fun without the shutdowns\nI DO enjoy Pinterest, thank you ,",information giving
If you need inspiration of any kind you can find it here.,information giving
"I use boards to pin tons of ideas as inspiration when I first start a project or begin planning a party, but it would be nice to have a way to rank the pins to narrow down the ones I want to focus on first!",feature request
It provides an easy way to share ideas and pictures with friends and followers!,information giving
The idea and concept of pintrest is great.,information giving
I have never had any issues.,information giving
"Love how easy it is to find ideas when you need something specific, but also just find things that I never would have thought to try.",information giving
What did we do before Pinterest?,information seeking
No need to sign in every time and it loads quickly!,information giving
"I just wish people would only post links that were safe ,",information giving
"It is very cool how we can touch a picture and then we get the three options on what we can to do, but is there any way that y  all can put another option that saves a pin to the camera roll?",feature request
There are so many inspiring ideas out there and it has taken my creativity to a whole new level.,information giving
"The app is little tough to learn at first, that  s why only ?",information seeking
\nYou can create an online scrapbook of your favorite photos.,feature request
"Once I figured out how to navigate this app, it became very easy to switch from looking at my own pins to looking at recent pins of people I follow.",information giving
"We spend time organizing our boards but Pinterest fails to organizing themselves by not putting things in alphabetical order...please learn you ABC  s. ,",problem discovery
You have to get it!!,information giving
I have no problems with this app.,information giving
I really recommend it!,information giving
You can  t change the board covers anymore change that please!,feature request
I just love so much Pinterest!,information giving
...please consider it!!,information giving
"If you have an iPad, you must get this app.",information giving
"I just love this app, I use it all the time for just about everything.",information giving
I recommend this app to all!,information giving
You can create secret boards just for you or invite friends to your secret boards.,information giving
I like it so far especially when I need recipes or a drink!!,information giving
"If I need it, Pinterest has it!",information giving
"I wish you could drag and drop pins between boards, and delete with pins with one click.",feature request
I use this all the time..and I just love it!,information giving
"Love it but it crashes a lot :( ,",problem discovery
"Please do not change settings or do a thousand upgrades, we, users do not like!",information giving
I highly recommend it!,information giving
I did not get the idea of this app at first but the more I surfed the more I found I needed to return.,information giving
Seems like the controls are fairly user friendly but every now and then I have to re search for something because it bumps me out to the home page.,feature request
"\n\nSecondly, you have to get together with apple so I can just pin from my photos on my phone!!",information giving
"I have to scroll through a list of randomly organized (rather, NOT organized or DISorganized) names to find the one I need.",information giving
"\n\nThx, now, can you STOP asking me to rate Pinterest every third or fourth time I try to open it?",feature request
I need a meeting.,information giving
Love the abundance of ideas available at your fingertips!,information giving
Please fix this!,problem discovery
I adore Pinterest wholeheartedly but I do have a problem with how it does occasionally crash on me.,problem discovery
Just wish the scrolling down then back up just a little bit didn  t bring the top menu bar back.,feature request
And the news ticker (I don  t know what to call the thing that tells me when someone has liked a pin or followed a board) needs a better information hierarchy; an undifferentiated list doesn  t serve me needs ?,feature request
Highly recommend getting it.,information giving
I have made a few of these great ideas but I  m excited to do so many more!,information giving
I just wish editing my boards was easier.,information giving
"One thing, I would like to see the subscribers in order of appearance.",feature request
"I love Pinterest, but I think it needs to be revamped.",feature request
"First, you  ll only have a couple boards then you  ll need a couple more because you  ll want to have a\nPlace for your interests.",feature request
"One issue I do have is sometimes when I pin a Lin and go back to it I can  t necessarily get the pattern or recipe, not sure why.",problem discovery
"Before Pinterest I had magazine clippings, notebooks, files, etc. all saved with ideas, but I could never find what I needed when I needed it.",information giving
"The app does what it needs to, &amp; I love it.",information giving
"WOULD RECOMMEND TO ANYONE AND EVERYONE ,",information giving
"I absolutely love Pinterest, and have had no problems with the app!",information giving
"You can search and find whatever you could possibly think of, from simple DIY projects to ancient Jewish tombstone inscriptions!",information giving
"My only problem is that some times it just suddenly closes out on me, and I have to wait a bit to open it again.",problem discovery
Everyone should use it!,information giving
Here are some reasons why I enjoy it:\n\n1  I have done so many home projects for cheap or have done something I never would have because of creative ideas that are step by step.,information giving
\n\n2 I have been able to look up garden questions or ideas and made a beautiful and productive garden this year.,information giving
\n\nOct 31st\nHope you are working on this crashing problem.,problem discovery
Something needs to be done.,feature request
Can  t figure out how to clean up my boards.,information seeking
"It crashes occasionally, but overall it  s a great app!",problem discovery
That means I can  t pin.,problem discovery
I love this app it is so much better than just using the web.,information giving
Just wish you didn  t have to allow others to follow you unless you give permission or maybe allowed to have more secret boards.,information seeking
I wish there was a pin button on my phone where I could pin things I see like I to when I  m on my laptop (maybe there is one for the phone and I just haven  t found it).,feature request
Once you start looking  you can  t stop!,information giving
This app has helped me in many more ways than just piecing together a dream wedding.,information giving
I have figure out how to use photography to my advantage and learned different workouts!,information seeking
"I had problems with the app freezing a lot before, but don  t anymore.",problem discovery
"Great app, but it badly needs two things:\n1.",feature request
How do you organize effectively without sub folders?,information seeking
"If the link is bad, it should not be able to post.",problem discovery
"The most recent update was a bit of a change visually, but it only took a couple of minutes to learn how to navigate!",information giving
I wish it were easier to move my pins from one of my boards to a new board I create.,information giving
This is still a problem as of 12/27/13!!!,problem discovery
"No update has been done recently though, and until I read that the problem with Safari is fixed I will try to remember not to upgrade the system.",problem discovery
"The only thing I suggest would be to update the look more often:) \nBut as far as the app I love it ,",feature request
There are so many great ideas for crafts and food recipes.,information giving
Who needs a magazine?!,information seeking
"Please provide a solution for an avid user:) ,",feature request
"I have no issues with this app and have a bunch of fun with it :) ,",information giving
"5tootle ,  I love Pinterest please change the page back the way it was a few weeks ago ,",feature request
"Just wish it would stop crashing, and adding a side bar to scroll through boards would be nice.",feature request
It  s so easy to save organize and find whatever you need.,information giving
I  m able to get where I need to go with little problems.,information giving
I can  t stop and I won  t pinning!!!,information giving
Great recipes for those of us that can  t cook without them!,information giving
It always crashes at the most inconvenient time.,problem discovery
Please fix this.,problem discovery
"I have had a Pinterest for a few years, back when you had to request to be part of it and now I use it on both my computer and iPhone.",information giving
"If that option could be added, I  d give it 5 stars.",feature request
I never have any problems.,information giving
Love Pinterest... I think it would be awesome to have the boards like now plus sub boards.,feature request
Occasionally when there are new updates it will crash but they generally fix it pretty quickly.,problem discovery
I can  t live with out it!!,information giving
Pinterest must be rated number one app on my phone.,information giving
Never crashes and never fails.,information giving
"This is the best thing, if you want to know about something it  s somewhere on Pinterest !!!!",information giving
"t know who you have recently hired to change your interface, but I suggest going back to the previous designer.",feature request
However the site itself is a great idea!,information giving
"s happening , 5,  Heysuzen ,  I can  t explain if you don  t have Pinterest.",information giving
Truly you are missing a iconoclastic app.,feature request
"The problems with the folders is that if you touch one accidentally (like hit the one above) it pins I to it,before you had to hit the PIN button again which gave you the chance to make sure to hanger the folder with one tap, now you have to go in and delete and move it to the correct folder.",problem discovery
The latest update does not work well on the iPad.,problem discovery
I just wish you could the app horizontally.,feature request
Not always clear about how to pin something or follow someone.,information seeking
But it crashes A LOT.,problem discovery
"Also, I can  t update my board covers, and that should be brought back.",feature request
The last update did nothing to improve the Pinterest experience  why the change??,information seeking
Not sure why some people are having issues but mine works just fine.,information giving
Do wish there was a way to move pins to different boards without having to repin them.,feature request
But now I enjoy it and you find out more about your friends thru it.,information giving
The best way to keep on top of today  s style.,information giving
"I love Pinterest, just hate the changes and bugs!",information giving
App logs out &amp; can  t sign in from time to time.,problem discovery
Love the app but it crashes a little much.,problem discovery
"My Pinterest worked just fine until I just updated it today, now nothing loads!!",problem discovery
Please fix or allow me to downgrade!,problem discovery
"I love Pinterest and the app is easier to use because you just press on a picture the different options to pin it, like and send pop up and all you do is slide to the option.",information giving
Pinterest is a great idea but can be very disappointing.,information giving
"But LOTS of updating, and it will crash or freeze on you.",problem discovery
"Not only fun to pass the time when you are bored, or waiting at the dr  s office, but provides so many great ideas and useful tips.",information giving
The bugs in the app have been fixed over time &amp; I have no complaints except for adding more than 3 secret boards.,feature request
Having it on the iPad/iPhone just makes it even more addicting.,information giving
It  s great and I recommend it all the time to others.,information giving
We just need a list of categories and we don  t need a picture of what the category is.,feature request
"I love it, but every night while I  m on it just crashes for no reason.",problem discovery
For the recipes or different DIY things it would be nice to be able to see at rating on how others felt about them or telling if they would try it again or not.,feature request
I need this fixed now.,problem discovery
I get a ton if great ideas and it is the best past time.,information giving
"I believe once people understand its purpose and create a groove"" that serves them best addiction is inevitable!!!!""",information giving
"I can  t see who is following specific boards, only generally who is following, unless I am missing something?",information seeking
Do not find much on the Middle East countries though.,information giving
If you love Pinterest on the computer you need the app.,information seeking
And the only problem that I  ve found is that I spend WAY TOO MUCH time going through it!,problem discovery
I just wish you could send multiple pins to one person at a time and the same pin to multiple people at once.,feature request
"Even though this issue had been fixed"" I  m still having problems.""",problem discovery
Please readdress this issue.,problem discovery
Never had a problem with it.,information giving
It would crash a lot more than it does now.,problem discovery
I love Pinterest and all that you can find on there so this is perfect for my smart phone.,information seeking
"It does have some issues, such as the shut off in the middle of a pin and not loading at all until I close the app completely which also make me lose the place I have scrolled to.",problem discovery
Haven  t seen any glitches just relaxing enjoyment.,information seeking
"Four stars because it crashes sometimes, and I do not like the updated search.",problem discovery
Just like the Pinterest website.,information seeking
"I love the app, but it does seem to crash a lot.",problem discovery
"When I need a recipe or how to fix my hair, or fashion ideas ,  crafts, Pinterest has it all.",problem discovery
"The problem I have that drops two stars, the updates don  t fix things; they just add more clutter.",problem discovery
"It now suggests people who might like a pin sent, every.",information seeking
It would be nice to turn that off.,feature request
But the app still needs a lot of work.,feature request
It had everything you need!!,information seeking
e and I create out wedding and wish lists so we know what to get each other for Xmas and bdays.,information giving
Also helping create our bucket list.,information giving
Like how it  s gotten easier for me to navigate through.,information giving
"I just don  t like all the notifications for everything, but other than that, it  s awesome!",feature request
Downloaded a few days ago and haven  t had any issues.,information giving
( you even made me a better cook!),information giving
I would like to see more categories for browsing it seems all of the DIY Crafts that are lumped together could be better sub divided.,feature request
"Quilts, for instance, should have their own category.",feature request
It  s like a magazine that you get to design yourself.,information giving
Instead of just turning the screen orientation the app closes my whole iPad.,feature request
I would definitely suggest to download it it  s only wonderful thing.,information giving
I have made several projects and recipes from the ideas that have been shared.,information giving
I  m planning my wedding and getting ideas from Pinterest but my mom doesn  t know how to use the app so I like sending her pictures from my phone via text.,information giving
Highly recommend the site and app!,information giving
The only adjustment I would suggest would be to fix load time as the images sometimes take awhile to upload.,feature request
I get so many ideas for design and recipes and fun stuff and it also just has a lot of great pictures and it  s fun to look around.,information giving
If I could turn that option off on this app and the site it would be nice.,feature request
Please fix it so that it is compatible.,problem discovery
The fact that I can use it on the go &amp; just not at home is awesome!,information giving
Definitely a good app and I  ve never had a problem with it!,information giving
It crashes once in a while; about two times a week.,problem discovery
Please bring that back and keep it!,information giving
Please bring the old version back!,information giving
I  ve said more than once that Every woman should have a Pinterest account!,information giving
I defiantly recommend downloading this app!,information giving
"I had to Google it to discover that you have to tap the camera button, then the little image icon.",information giving
"I was confused of how to use it at first, but now that I  ve figured it out its terribly addicting.",information giving
The old app was constantly crashing and shutting my ipad completely off.,problem discovery
Please bring back the A   Z tabs when looking for categorized pin boards.,feature request
I could spend hours on it and yet I still don  t know quite how to use it.,information seeking
This app is amazing and always provides me with new ideas for everything!!,information giving
"Previously, the app would crash my iPad and, though it still does this, it  s far and few between crashes.",problem discovery
Tried trouble shooting and they said sorry that  s just what you have to do sometimes.,information giving
I love Pinterest but it always crashes!,problem discovery
"If you post your own stuff, Pinterest automatically owns it.",information giving
"I love the app in general, but this update has some bugs.",problem discovery
"Used it to plan my daughters wedding, makes me a rock star when I bake or entertain, helped me redo my dining room table and a whole lot more.",information giving
What did I do before Pinterest?,information seeking
What a great way to discover how to enhance your life in all areas!,information giving
Wish the app was available on my Philips smart tv!,information seeking
I love this app but it crashes all the time!!!!!!,problem discovery
"I utilize recipes, DIY projects, travel ideas, and many other options available.",information giving
:)  HIGHLY recommend it!,information giving
"While Pinterest is still a great idea, the fact that the home feed is now more than 50% related pins"" is very annoying.""",feature request
Enjoy using on my iPhone and iPad but it still likes to crash.,problem discovery
When I try to load a video it almost always crashes.,problem discovery
Why limit to 3?,information seeking
I love the new functionalities available in this release.,information giving
"I love all of the updates that they have had on it so far Pinterest has everything that you could possibly think of, and I recommend Pinterest to everyone.",information giving
How did people organize their weddings before Pinterest?,information seeking
Wish there were more secret boards available.,feature request
"I like sharing info and ideas with others, however, the lack of privacy is an issue.",problem discovery
"So, I  d like more privacy settings that are already available on other social networking sites and Pinterest would be perfect.",feature request
How do I go back and submit my email address so I can write comments?,information seeking
I don  t know how to go back to where you tell me to give my email address.,information seeking
Is there a way I can leave messages to other pinners?,information seeking
It  s such a fun place to visit when I need a new idea or different perspective.,information giving
"I love this app, it is my go to when I need some creative direction!",information giving
"\nEveryone can use this app ,",information giving
You seriously just tap the pic and in seconds it  s on one of your perfect boards!!,information giving
I recommend this to anyone looking for inspiration.,information giving
But you should add chatting!,feature request
Wish I could select multiple pins when I need to edit my boards.,feature request
Plus it holds well on my 4G iPod and I haven  t had a single problem with the app in these past couple of months since using it.,information giving
If you love to pin and pin quickly then I  d recommend downloading the app.,information giving
Haven  t had any real issues with it.,information giving
"Pinterest doesn  t need my review to convince anyone of its worth and ease of use, just try it yourself.",information giving
Pinterest is addicting....can  t wait to see how it keeps getting better.,information giving
"Great app live convience of just pushing a button instead of browser hunting ,",information giving
You did an update to fix bugs but seemed to have created new ones.,information giving
I love that I can create my own boards and use Pinterest to organize holiday and party planning.,information giving
I really recommend this app.,information giving
"Watch out because once you start, you might get addicted!",information giving
The only thing I would warn is that you can probably become a bit materialistic.,information giving
So be happy with what you have and just have fun.,information giving
"Prior to the update, it was crashing frequently, shutting down my iPad, then rebooting.",problem discovery
Please bring back this feature.,feature request
"I only wish that you could remove previous pins from a board or move them to a different board, just so you can correct a finger slip or get rid of things that you didn  t end up liking.",feature request
App fails in iPod works great in iPad.,problem discovery
"Nik Nik 888 ,  Just love this app\nIt  s very inspirational when you need a pick me up ,",information giving
"Although more often, Puns don  t always link back to the original post where you can find the recipe or instructions on how to do/make something.",problem discovery
Why do I need to pay all of a sudden?,information seeking
getting lower and we still pay for it	Please make the picture view adjustable since lage device took roll.,feature request
Why on earth do i never recieve notifications from this app ?,information seeking
"I  ve checked my settings a thousand times , everything is great there , but why dont  i recieve notifications ?",information seeking
Most necessary app	Its simply pointless purchasing a smartphone that does not support whatsapp.,information giving
Need to see contacts profile pictures	Need to fix the problem where people can see their contacts pictures,feature request
"I am not able to add any, nor view any which have UTF8 chars in the name.",problem discovery
"Good app but wont let me get wifi please make it on a tablet ,",feature request
status suggestion feature can hav random quotes available means by refreshing it can show a new quote .after all ur app sounds like wassup .but u deserve 5 stars.,information giving
But why not a new design?,feature request
"Zero start Fail to load	Continuously hangs and,I can  t open this app .",problem discovery
Just remove the last seen record.,feature request
Good application	This is fast and provides data immediately.,information giving
hope the makers will have a look on it too in the coming updates.,information giving
Really appreciate	What is a very wonderful chattin network.indeed it might help to chat with friends wherever u want but beware thre is a drawback that you must connect to a wifi network,feature request
We can use it for many things	It is good but it take many internet,information giving
Bhknb	Y this application is not working properly on my phone,feature request
"Not fair	As much as I love to use Whatsapp, I am wondering why my version of Whatsapp only has one year limit while my friend has unlimited usage?",information seeking
please increase data limit more than 12 m.b. kuldeep.,feature request
Please  The Profile pic I don  t want To anyone to see it Anyone i don  t know but have my number !,feature request
Why it  s works slowely?,information seeking
Comm made easy	Updating is the only problem.,problem discovery
Bug should be fixed	I like this app but Its continuously giving error and stopped crashing please fix this bug.,feature request
needs to be made free	need to be made free for 5 stars,feature request
"Keeps crashing	Not only did it crash, it also wiped my whole phone.",feature request
new update is worse	I am using it on note3 and ever since I updated the new version I am unable to send songs to my contacts.,feature request
privacy is another issue.,feature request
Crashing	It crashed 2 times in 10 minutes.,feature request
Nice app	Good work bt stil needs improvement,information giving
Very good app	I wish it can work with two number in same phone or work with dual sim card for both number when it will be Work for dual sim card mobile plz.,information seeking
Bakwas application	Always not responding problem occurs can  t shows messages.,problem discovery
Ma fav	I just love it,information giving
But the problem is very slow running to update.,problem discovery
But I  d suggest two important features which are available in many other messengers.,feature request
Why this is available on iOS while it  s not on android.,information seeking
This must be added common.,feature request
